dataset,model,condition1,condition2,delta_definition,metric,paired_n,rate1,rate2,delta,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,accuracy,500,0.052,0.652,0.6,0.556,0.644,3,303,7.326349496710822e-86,1.4652698993421644e-85
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,target_adoption,500,0.884,0.192,-0.692,-0.732,-0.65,346,0,1.3952482803738708e-104,2.7904965607477417e-104
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,change_rate,500,0.868,0.136,-0.732,-0.77,-0.694,366,0,1.3306124500025471e-110,2.6612249000050942e-110
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,conformity_rate,467,0.8779443254817987,0.13704496788008566,-0.7408993576017131,-0.7794432548179872,-0.7002141327623126,346,0,1.3952482803738708e-104,2.7904965607477417e-104
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,harmful_conformity,368,0.8913043478260869,0.11684782608695653,-0.7744565217391305,-0.8179347826086957,-0.7309782608695652,285,0,3.217223493417518e-86,6.434446986835036e-86
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,neutral_source_label,model_source_label,condition2_minus_condition1,beneficial_revision,132,0.022727272727272728,0.015151515151515152,-0.007575757575757576,-0.03787878787878788,0.022727272727272728,3,2,1.0,1.0
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,accuracy,500,0.22,0.62,0.4,0.356,0.442,1,201,6.316360507029059e-59,6.316360507029059e-59
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,target_adoption,500,0.724,0.168,-0.556,-0.598,-0.512,278,0,4.118046071574423e-84,4.118046071574423e-84
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,change_rate,500,0.672,0.13,-0.542,-0.586,-0.498,272,1,3.610702795556454e-80,3.610702795556454e-80
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,conformity_rate,468,0.7051282051282052,0.1111111111111111,-0.594017094017094,-0.6367521367521367,-0.5491452991452992,278,0,4.118046071574423e-84,4.118046071574423e-84
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,harmful_conformity,345,0.6695652173913044,0.09855072463768116,-0.5710144927536231,-0.6231884057971014,-0.518840579710145,197,0,9.956824444577827e-60,9.956824444577827e-60
CommonsenseQA,google/gemma-2-2b-it,neutral_source_label,model_source_label,condition2_minus_condition1,beneficial_revision,155,0.0064516129032258064,0.03225806451612903,0.025806451612903226,0.0064516129032258064,0.05161290322580645,0,4,0.125,0.25
