cell,model,dataset,stratum,stratum_n,target_probability_min,target_probability_max,condition,cr_n,cr,hcr_n,hcr
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,167,4.5990536648555046e-10,1.1231841601418083e-07,exp1,167,0.15568862275449102,152,0.16447368421052633
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,167,4.5990536648555046e-10,1.1231841601418083e-07,exp2,167,0.49101796407185627,152,0.5
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,167,4.5990536648555046e-10,1.1231841601418083e-07,exp3,167,0.011976047904191617,152,0.013157894736842105
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,167,4.5990536648555046e-10,1.1231841601418083e-07,exp4,167,0.09580838323353294,152,0.09868421052631579
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,166,1.125172069166953e-07,1.760340065307887e-06,exp1,166,0.21084337349397592,133,0.20300751879699247
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,166,1.125172069166953e-07,1.760340065307887e-06,exp2,166,0.5120481927710844,133,0.48872180451127817
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,166,1.125172069166953e-07,1.760340065307887e-06,exp3,166,0.018072289156626505,133,0.015037593984962405
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,166,1.125172069166953e-07,1.760340065307887e-06,exp4,166,0.12650602409638553,133,0.12030075187969924
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,167,1.7603423588641244e-06,0.9999995673806696,exp1,135,0.3925925925925926,83,0.3855421686746988
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,167,1.7603423588641244e-06,0.9999995673806696,exp2,135,0.8,83,0.7710843373493976
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,167,1.7603423588641244e-06,0.9999995673806696,exp3,135,0.06666666666666667,83,0.08433734939759036
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,167,1.7603423588641244e-06,0.9999995673806696,exp4,135,0.3333333333333333,83,0.3253012048192771
qwen_mmlu,Qwen2.5-3B,MMLU,Low,167,9.736163731037073e-10,8.3152634909671e-07,exp1,167,0.2275449101796407,146,0.2191780821917808
qwen_mmlu,Qwen2.5-3B,MMLU,Low,167,9.736163731037073e-10,8.3152634909671e-07,exp2,167,0.38323353293413176,146,0.3698630136986301
qwen_mmlu,Qwen2.5-3B,MMLU,Low,167,9.736163731037073e-10,8.3152634909671e-07,exp3,167,0.017964071856287425,146,0.02054794520547945
qwen_mmlu,Qwen2.5-3B,MMLU,Low,167,9.736163731037073e-10,8.3152634909671e-07,exp4,167,0.18562874251497005,146,0.1506849315068493
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,166,8.315271143005791e-07,0.0002553404560469674,exp1,166,0.4879518072289157,113,0.4336283185840708
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,166,8.315271143005791e-07,0.0002553404560469674,exp2,166,0.5963855421686747,113,0.6194690265486725
