cell,model,dataset,stratum,condition1,condition2,cr_n,delta_cr,ci_low,ci_high,bootstrap_reps
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,exp1,exp2,167,0.33532934131736525,0.25748502994011974,0.41317365269461076,10000
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Low,exp2,exp3,167,-0.47904191616766467,-0.5508982035928144,-0.40718562874251496,10000
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,exp1,exp2,166,0.30120481927710846,0.21084337349397592,0.3855421686746988,10000
qwen_csqa,Qwen2.5-3B,CommonsenseQA,Medium,exp2,exp3,166,-0.4939759036144578,-0.572289156626506,-0.41566265060240964,10000
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,exp1,exp2,135,0.4074074074074074,0.3111111111111111,0.5037037037037037,10000
qwen_csqa,Qwen2.5-3B,CommonsenseQA,High,exp2,exp3,135,-0.7333333333333333,-0.8074074074074075,-0.6592592592592592,10000
qwen_mmlu,Qwen2.5-3B,MMLU,Low,exp1,exp2,167,0.15568862275449102,0.07784431137724551,0.23952095808383234,10000
qwen_mmlu,Qwen2.5-3B,MMLU,Low,exp2,exp3,167,-0.3652694610778443,-0.437125748502994,-0.2934131736526946,10000
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,exp1,exp2,166,0.10843373493975904,0.012048192771084338,0.20481927710843373,10000
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,exp2,exp3,166,-0.5421686746987951,-0.6204819277108434,-0.463855421686747,10000
qwen_mmlu,Qwen2.5-3B,MMLU,High,exp1,exp2,100,0.12,0.02,0.22,10000
qwen_mmlu,Qwen2.5-3B,MMLU,High,exp2,exp3,100,-0.67,-0.76,-0.58,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,exp1,exp2,166,0.19879518072289157,0.13855421686746988,0.26506024096385544,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,exp2,exp3,166,-0.6445783132530121,-0.7228915662650602,-0.5662650602409639,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,exp1,exp2,164,0.17682926829268292,0.10975609756097561,0.25,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,exp2,exp3,164,-0.6890243902439024,-0.7682926829268293,-0.6097560975609756,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,exp1,exp2,141,0.0425531914893617,-0.02127659574468085,0.10638297872340426,10000
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,exp2,exp3,141,-0.6595744680851063,-0.7446808510638298,-0.5673758865248227,10000
phi_mmlu,Phi-3.5-mini,MMLU,Low,exp1,exp2,160,0.30625,0.225,0.3875,10000
phi_mmlu,Phi-3.5-mini,MMLU,Low,exp2,exp3,160,-0.4,-0.49375,-0.30625,10000
phi_mmlu,Phi-3.5-mini,MMLU,Medium,exp1,exp2,158,0.2848101265822785,0.2088607594936709,0.36075949367088606,10000
phi_mmlu,Phi-3.5-mini,MMLU,Medium,exp2,exp3,158,-0.33544303797468356,-0.43670886075949367,-0.23417721518987342,10000
phi_mmlu,Phi-3.5-mini,MMLU,High,exp1,exp2,103,0.33980582524271846,0.23300970873786409,0.44660194174757284,10000
phi_mmlu,Phi-3.5-mini,MMLU,High,exp2,exp3,103,-0.44660194174757284,-0.5631067961165048,-0.32038834951456313,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,exp1,exp2,167,-0.005988023952095809,-0.017964071856287425,0.0,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,exp2,exp3,167,0.023952095808383235,0.005988023952095809,0.04790419161676647,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,exp1,exp2,166,0.024096385542168676,0.006024096385542169,0.04819277108433735,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,exp2,exp3,166,0.006024096385542169,-0.030120481927710843,0.04216867469879518,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,exp1,exp2,135,0.05185185185185185,0.0,0.1111111111111111,10000
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,exp2,exp3,135,0.1925925925925926,0.1111111111111111,0.2740740740740741,10000
gemma_mmlu,Gemma-2-2B,MMLU,Low,exp1,exp2,167,0.0,-0.017964071856287425,0.017964071856287425,10000
gemma_mmlu,Gemma-2-2B,MMLU,Low,exp2,exp3,167,0.08383233532934131,0.041916167664670656,0.1317365269461078,10000
gemma_mmlu,Gemma-2-2B,MMLU,Medium,exp1,exp2,166,0.018072289156626505,-0.006024096385542169,0.04819277108433735,10000
gemma_mmlu,Gemma-2-2B,MMLU,Medium,exp2,exp3,166,0.0783132530120482,0.030120481927710843,0.13253012048192772,10000
gemma_mmlu,Gemma-2-2B,MMLU,High,exp1,exp2,95,0.021052631578947368,0.0,0.05263157894736842,10000
gemma_mmlu,Gemma-2-2B,MMLU,High,exp2,exp3,95,0.1368421052631579,0.07368421052631578,0.21052631578947367,10000
