dataset,model,condition1,condition2,delta_definition,metric,paired_n,rate1,rate2,delta,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,accuracy,500,0.566,0.326,-0.24,-0.284,-0.196,137,17,1.728718686048066e-24,1.3829749488384528e-23
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,target_adoption,500,0.292,0.614,0.322,0.276,0.37,19,180,4.48411910714546e-34,4.035707196430914e-33
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,change_rate,500,0.242,0.566,0.324,0.276,0.37,19,181,2.475842815807263e-34,2.228258534226537e-33
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,468,0.24358974358974358,0.5876068376068376,0.344017094017094,0.2948717948717949,0.3952991452991453,19,180,4.48411910714546e-34,4.035707196430914e-33
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,368,0.22826086956521738,0.5570652173913043,0.328804347826087,0.27445652173913043,0.3858695652173913,15,136,1.41707554206223e-25,1.275367987856007e-24
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,132,0.022727272727272728,0.022727272727272728,0.0,-0.022727272727272728,0.022727272727272728,1,1,1.0,1.0
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,accuracy,500,0.326,0.712,0.386,0.344,0.43,3,196,3.2698211475993583e-54,3.596803262359294e-53
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,target_adoption,500,0.614,0.092,-0.522,-0.566,-0.478,261,0,5.397605346934028e-79,5.937365881627431e-78
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,change_rate,500,0.566,0.034,-0.532,-0.576,-0.488,266,0,1.6867516709168837e-80,2.0241020051002605e-79
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,468,0.5876068376068376,0.029914529914529916,-0.5576923076923077,-0.6025641025641025,-0.5128205128205128,261,0,5.397605346934028e-79,5.937365881627431e-78
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,368,0.5570652173913043,0.029891304347826088,-0.5271739130434783,-0.5788043478260869,-0.47554347826086957,194,0,7.965459555662261e-59,8.762005511228488e-58
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,132,0.022727272727272728,0.007575757575757576,-0.015151515151515152,-0.045454545454545456,0.015151515151515152,3,1,0.625,1.0
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,accuracy,500,0.402,0.304,-0.098,-0.138,-0.058,79,30,2.955849293090173e-06,1.1823397172360693e-05
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,target_adoption,500,0.494,0.608,0.114,0.066,0.16,46,103,3.451074425265659e-06,1.3804297701062636e-05
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,change_rate,500,0.386,0.484,0.098,0.052,0.146,51,100,8.212852870228109e-05,0.0002463855861068433
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,433,0.4226327944572748,0.5519630484988453,0.12933025404157045,0.07390300230946882,0.18244803695150116,46,102,4.805270754169311e-06,1.9221083016677243e-05
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,316,0.36075949367088606,0.5221518987341772,0.16139240506329114,0.10126582278481013,0.22468354430379747,28,79,8.420013817717514e-07,3.3680055270870056e-06
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,184,0.016304347826086956,0.005434782608695652,-0.010869565217391304,-0.02717391304347826,0.0,2,0,0.5,1.0
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,accuracy,500,0.304,0.604,0.3,0.258,0.342,3,153,1.385680555034147e-41,1.3856805550341469e-40
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,target_adoption,500,0.608,0.176,-0.432,-0.476,-0.388,220,4,7.714243821313192e-60,7.714243821313192e-59
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,change_rate,500,0.484,0.042,-0.442,-0.486,-0.396,223,2,9.431027558737838e-64,9.431027558737838e-63
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,433,0.5519630484988453,0.04849884526558892,-0.5034642032332564,-0.5496535796766744,-0.45496535796766746,220,2,7.345415124329314e-63,7.345415124329314e-62
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,316,0.5221518987341772,0.04430379746835443,-0.4778481012658228,-0.5348101265822784,-0.4208860759493671,153,2,5.294718666297301e-43,5.294718666297301e-42
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,184,0.005434782608695652,0.0,-0.005434782608695652,-0.016304347826086956,0.0,1,0,1.0,1.0
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,accuracy,497,0.23943661971830985,0.12474849094567404,-0.11468812877263582,-0.14688128772635814,-0.08450704225352113,63,6,4.4735298364989573e-13,2.6841179018993744e-12
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,target_adoption,497,0.6901408450704225,0.8269617706237424,0.13682092555331993,0.10261569416498995,0.17303822937625754,12,80,1.715599535972955e-13,1.029359721583773e-12
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,change_rate,497,0.6498993963782697,0.7907444668008048,0.14084507042253522,0.10663983903420524,0.1750503018108652,7,77,5.137564699362503e-16,3.082538819617502e-15
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,471,0.673036093418259,0.8174097664543525,0.14437367303609341,0.10615711252653928,0.18259023354564755,12,80,1.715599535972955e-13,1.029359721583773e-12
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,371,0.6684636118598383,0.8247978436657682,0.15633423180592992,0.11590296495956873,0.19946091644204852,6,64,2.44272646814786e-13,1.465635880888716e-12
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,126,0.007936507936507936,0.015873015873015872,0.007936507936507936,-0.015873015873015872,0.031746031746031744,1,2,1.0,1.0
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,accuracy,497,0.12474849094567404,0.5875251509054326,0.46277665995975853,0.4164989939637827,0.5110663983903421,8,238,5.424864855548871e-60,6.509837826658646e-59
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,target_adoption,497,0.8269617706237424,0.19517102615694165,-0.6317907444668008,-0.6780684104627767,-0.5855130784708249,324,10,2.4499979662208137e-82,2.939997559464976e-81
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,change_rate,497,0.7907444668008048,0.22535211267605634,-0.5653923541247485,-0.6116700201207244,-0.5191146881287726,293,12,3.475288314854996e-71,3.822817146340496e-70
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,471,0.8174097664543525,0.15286624203821655,-0.6645435244161358,-0.7112526539278131,-0.6178343949044586,323,10,4.7537520997109384e-82,5.704502519653126e-81
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,371,0.8247978436657682,0.14285714285714285,-0.6819407008086253,-0.7331536388140162,-0.6307277628032345,259,6,1.5688020717005037e-68,1.8825624860406045e-67
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,126,0.015873015873015872,0.031746031746031744,0.015873015873015872,-0.023809523809523808,0.05555555555555555,2,4,0.6875,1.0
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,accuracy,494,0.42105263157894735,0.20445344129554655,-0.2165991902834008,-0.2550607287449393,-0.17611336032388664,114,7,5.0549056627657954e-26,4.549415096489216e-25
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,target_adoption,494,0.4392712550607287,0.7024291497975709,0.2631578947368421,0.21862348178137653,0.3076923076923077,15,145,6.82617486369463e-28,4.778322404586241e-27
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,change_rate,494,0.340080971659919,0.611336032388664,0.27125506072874495,0.22672064777327935,0.31376518218623484,11,145,5.503481515593942e-31,4.4027852124751534e-30
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,435,0.36551724137931035,0.6666666666666666,0.30114942528735633,0.25287356321839083,0.34942528735632183,13,144,4.078087318804872e-29,3.2624698550438977e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,333,0.36936936936936937,0.6756756756756757,0.3063063063063063,0.24924924924924924,0.3633633633633634,9,111,1.7092920119428793e-23,1.3674336095543035e-22
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,161,0.012422360248447204,0.0,-0.012422360248447204,-0.031055900621118012,0.0,2,0,0.5,1.0
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,accuracy,489,0.20245398773006135,0.43558282208588955,0.2331288343558282,0.18200408997955012,0.2822085889570552,33,147,2.2431081245674986e-18,1.570175687197249e-17
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,target_adoption,489,0.7034764826175869,0.35787321063394684,-0.3456032719836401,-0.3987730061349693,-0.29243353783231085,206,37,1.286796111141175e-29,1.02943688891294e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,change_rate,489,0.6114519427402862,0.3231083844580777,-0.2883435582822086,-0.34355828220858897,-0.2331288343558282,188,47,3.6737626041116125e-21,2.5716338228781287e-20
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,430,0.6674418604651163,0.28837209302325584,-0.37906976744186044,-0.4372093023255814,-0.3186046511627907,198,35,8.306196457167136e-29,5.814337520016995e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,328,0.676829268292683,0.29878048780487804,-0.3780487804878049,-0.4481707317073171,-0.3079268292682927,153,29,1.4963451823321186e-21,1.047441627632483e-20
