dataset,model,condition1,condition2,delta_definition,metric,paired_n,rate1,rate2,delta,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,accuracy,500,0.566,0.326,-0.24,-0.284,-0.196,137,17,1.728718686048066e-24,1.728718686048066e-24
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,target_adoption,500,0.292,0.614,0.322,0.276,0.37,19,180,4.48411910714546e-34,4.48411910714546e-34
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,change_rate,500,0.242,0.566,0.324,0.276,0.37,19,181,2.475842815807263e-34,2.475842815807263e-34
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,468,0.24358974358974358,0.5876068376068376,0.344017094017094,0.2948717948717949,0.3952991452991453,19,180,4.48411910714546e-34,4.48411910714546e-34
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,368,0.22826086956521738,0.5570652173913043,0.328804347826087,0.27445652173913043,0.3858695652173913,15,136,1.41707554206223e-25,1.41707554206223e-25
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,132,0.022727272727272728,0.022727272727272728,0.0,-0.022727272727272728,0.022727272727272728,1,1,1.0,1.0
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,accuracy,500,0.326,0.712,0.386,0.344,0.43,3,196,3.2698211475993583e-54,6.539642295198717e-54
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,target_adoption,500,0.614,0.092,-0.522,-0.566,-0.478,261,0,5.397605346934028e-79,1.0795210693868056e-78
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,change_rate,500,0.566,0.034,-0.532,-0.576,-0.488,266,0,1.6867516709168837e-80,3.3735033418337674e-80
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,468,0.5876068376068376,0.029914529914529916,-0.5576923076923077,-0.6025641025641025,-0.5128205128205128,261,0,5.397605346934028e-79,1.0795210693868056e-78
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,368,0.5570652173913043,0.029891304347826088,-0.5271739130434783,-0.5788043478260869,-0.47554347826086957,194,0,7.965459555662261e-59,1.5930919111324523e-58
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,132,0.022727272727272728,0.007575757575757576,-0.015151515151515152,-0.045454545454545456,0.015151515151515152,3,1,0.625,1.0
