dataset,model,condition1,condition2,delta_definition,metric,paired_n,rate1,rate2,delta,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,accuracy,500,0.402,0.304,-0.098,-0.138,-0.058,79,30,2.955849293090173e-06,2.955849293090173e-06
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,target_adoption,500,0.494,0.608,0.114,0.066,0.16,46,103,3.451074425265659e-06,3.451074425265659e-06
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,change_rate,500,0.386,0.484,0.098,0.052,0.146,51,100,8.212852870228109e-05,8.212852870228109e-05
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,433,0.4226327944572748,0.5519630484988453,0.12933025404157045,0.07390300230946882,0.18244803695150116,46,102,4.805270754169311e-06,4.805270754169311e-06
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,316,0.36075949367088606,0.5221518987341772,0.16139240506329114,0.10126582278481013,0.22468354430379747,28,79,8.420013817717514e-07,8.420013817717514e-07
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,184,0.016304347826086956,0.005434782608695652,-0.010869565217391304,-0.02717391304347826,0.0,2,0,0.5,1.0
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,accuracy,500,0.304,0.604,0.3,0.258,0.342,3,153,1.385680555034147e-41,2.771361110068294e-41
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,target_adoption,500,0.608,0.176,-0.432,-0.476,-0.388,220,4,7.714243821313192e-60,1.5428487642626384e-59
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,change_rate,500,0.484,0.042,-0.442,-0.486,-0.396,223,2,9.431027558737838e-64,1.8862055117475675e-63
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,433,0.5519630484988453,0.04849884526558892,-0.5034642032332564,-0.5496535796766744,-0.45496535796766746,220,2,7.345415124329314e-63,1.4690830248658629e-62
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,316,0.5221518987341772,0.04430379746835443,-0.4778481012658228,-0.5348101265822784,-0.4208860759493671,153,2,5.294718666297301e-43,1.0589437332594602e-42
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,184,0.005434782608695652,0.0,-0.005434782608695652,-0.016304347826086956,0.0,1,0,1.0,1.0
