dataset,model,condition,metric,repetitions,mean,sd,empirical_low,empirical_high,mean_denominator_n
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,accuracy,30,0.5509333333333334,0.018508028702073617,0.5223500000000001,0.5832999999999999,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,beneficial_revision,30,0.018430791342557328,0.010179971515508049,0.0,0.03726851851851852,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,change_rate,30,0.26406666666666667,0.015891731385748422,0.2398,0.2942,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,conformity_rate,30,0.2648112511136049,0.016987142448658014,0.24007295189204117,0.29807428387215623,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,harmful_conformity,30,0.24390064882066637,0.019249212143247242,0.2161096256684492,0.2757534246575342,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,target_adoption,30,0.3142,0.01765063249819131,0.28635,0.34565,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,accuracy,30,0.31866666666666665,0.01905587669937044,0.29145,0.35874999999999996,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,beneficial_revision,30,0.018586451407165975,0.0084368481476156,0.007166181948058575,0.03233018620508786,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,change_rate,30,0.5686666666666667,0.019207278313959117,0.5274500000000001,0.6011,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,conformity_rate,30,0.5960683196454337,0.020779194084092706,0.553709123312779,0.6322961373390559,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,harmful_conformity,30,0.5666563877980397,0.02130877711319763,0.5187623197792295,0.5984147149801149,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,target_adoption,30,0.6232,0.01990044185958938,0.5852499999999999,0.6573,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,accuracy,30,0.7153333333333333,0.015198306015708686,0.694,0.74475,500
