dataset,model,condition1,condition2,metric,delta_definition,repetitions,mean,sd,empirical_low,empirical_high,mean_paired_n
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,accuracy,condition2_minus_condition1,30,-0.23226666666666668,0.016878742667123896,-0.26000000000000006,-0.20490000000000003,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,beneficial_revision,condition2_minus_condition1,30,0.00015566006460864776,0.009387656314801651,-0.015019368804830808,0.015979481223383663,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,change_rate,condition2_minus_condition1,30,0.3046,0.01935618942265022,0.2678000000000001,0.33914999999999995,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,conformity_rate,condition2_minus_condition1,30,0.33125706853182885,0.021171467597193374,0.2868161094224924,0.3669513089673144,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,harmful_conformity,condition2_minus_condition1,30,0.3227557389773733,0.023744476113104727,0.2868587213891082,0.3597010784561988,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,target_adoption,condition2_minus_condition1,30,0.309,0.019998275787746277,0.26835000000000003,0.3446,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,accuracy,condition2_minus_condition1,30,0.3966666666666666,0.014329456840136454,0.3687,0.41564999999999996,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,beneficial_revision,condition2_minus_condition1,30,-0.00790056018976272,0.009482969575520599,-0.023539806547619047,0.014450354609929076,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,change_rate,condition2_minus_condition1,30,-0.5326666666666666,0.019034149588954885,-0.56255,-0.49200000000000005,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,conformity_rate,condition2_minus_condition1,30,-0.5638176983402728,0.020223561771766353,-0.5961909871244635,-0.5234186211798152,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,harmful_conformity,condition2_minus_condition1,30,-0.5377699841993607,0.02117065809681375,-0.5667533123736807,-0.49250711027258387,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,target_adoption,condition2_minus_condition1,30,-0.5259333333333334,0.019521753265900922,-0.55565,-0.48544999999999994,500
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,accuracy,condition2_minus_condition1,30,-0.013399999999999964,0.004073463323546169,-0.021099999999999907,-0.006000000000000005,500
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,beneficial_revision,condition2_minus_condition1,30,-0.003579616921762063,0.0034104067625808673,-0.007034215784215784,0.0,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,change_rate,condition2_minus_condition1,30,0.018866666666666667,0.005270171974772565,0.009449999999999997,0.027099999999999992,500
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,conformity_rate,condition2_minus_condition1,30,0.02308628130416194,0.005247670775151798,0.014931065926288857,0.03273210180889787,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,harmful_conformity,condition2_minus_condition1,30,0.01914751209557264,0.005567667257008472,0.008688740889670771,0.029318836708594365,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,target_adoption,condition2_minus_condition1,30,0.0216,0.004910228592192648,0.013999999999999999,0.030549999999999994,500
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,accuracy,condition2_minus_condition1,30,-0.0426666666666667,0.006834664854852864,-0.05255000000000005,-0.030350000000000037,500
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,beneficial_revision,condition2_minus_condition1,30,0.024787012903773324,0.011605385744272912,0.004931972789115647,0.04592686699072028,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,change_rate,condition2_minus_condition1,30,0.07440000000000001,0.007112882921029692,0.06325,0.08765,500
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,conformity_rate,condition2_minus_condition1,30,0.050173738522398564,0.008930621609283769,0.033504842615012104,0.06754248121688725,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,harmful_conformity,condition2_minus_condition1,30,0.049429776820024696,0.007879069245667855,0.03587693798449613,0.0635692373690771,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,target_adoption,condition2_minus_condition1,30,0.046933333333333334,0.008316719070159462,0.03144999999999999,0.06274999999999997,500
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,accuracy,condition2_minus_condition1,30,-0.11806029372125164,0.012737012056848889,-0.13877586960746213,-0.09401408450704224,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,beneficial_revision,condition2_minus_condition1,30,0.006412584547214316,0.005577864165060286,-0.0021484374999999993,0.015518925518925518,124.1
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,change_rate,condition2_minus_condition1,30,0.1444880793935433,0.013486282563298719,0.11871227364185111,0.1679811217008797,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,conformity_rate,condition2_minus_condition1,30,0.13931937640408587,0.013512386662466201,0.11645901244334125,0.16689765458422173,470.1666666666667
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,harmful_conformity,condition2_minus_condition1,30,0.15349830643152163,0.015911827705033826,0.12970143064482692,0.18424498247849636,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,exp2,target_adoption,condition2_minus_condition1,30,0.12932754260953375,0.013342682319282713,0.10608651911468815,0.15589879680010357,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,accuracy,condition2_minus_condition1,30,0.4473870935242228,0.01833215790779822,0.4119491996040273,0.480533199195171,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,beneficial_revision,condition2_minus_condition1,30,0.019285053378399083,0.01400338155949304,0.0,0.04926215277777776,124.73333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,change_rate,condition2_minus_condition1,30,-0.5565852386496969,0.01838469637950045,-0.5906230731161161,-0.5240963855421688,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,conformity_rate,condition2_minus_condition1,30,-0.6616743472509595,0.015738295545883577,-0.6875424298020618,-0.6376184060101258,470.8
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,harmful_conformity,condition2_minus_condition1,30,-0.6662902109985361,0.016685625558671112,-0.6904291162470609,-0.6345856540719554,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,exp3,target_adoption,condition2_minus_condition1,30,-0.6285322646196466,0.017030838869410786,-0.6562992876614526,-0.5987733499126768,497.56666666666666
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,accuracy,condition2_minus_condition1,30,-0.1126,0.015187562969927638,-0.13875,-0.08689999999999998,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,beneficial_revision,condition2_minus_condition1,30,-0.004716602957518745,0.004649253460630458,-0.013138350312191915,0.0015027322404371508,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,change_rate,condition2_minus_condition1,30,0.1469333333333333,0.016681464694918616,0.124,0.18439999999999998,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,conformity_rate,condition2_minus_condition1,30,0.182181538498371,0.020443887474936712,0.1548006833712984,0.2312745299997831,437.96666666666664
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,harmful_conformity,condition2_minus_condition1,30,0.18414164397034685,0.022792500812811423,0.14986588036729692,0.22546150710458884,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,exp2,target_adoption,condition2_minus_condition1,30,0.16159999999999997,0.017054880988070304,0.13889999999999997,0.20185,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,accuracy,condition2_minus_condition1,30,0.28446666666666665,0.01338741903825182,0.26199999999999996,0.30619999999999997,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,beneficial_revision,condition2_minus_condition1,30,-0.003370948058500003,0.003746269842487297,-0.010647178592204772,0.0015277777777777698,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,change_rate,condition2_minus_condition1,30,-0.43993333333333334,0.0140293616571014,-0.46110000000000007,-0.41050000000000003,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,conformity_rate,condition2_minus_condition1,30,-0.5008567903468859,0.015587347575416155,-0.5279983937176513,-0.4735599078341014,437.96666666666664
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,harmful_conformity,condition2_minus_condition1,30,-0.44644294824969266,0.01715852579201395,-0.4747429372663066,-0.42180911144578315,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,exp3,target_adoption,condition2_minus_condition1,30,-0.4368666666666666,0.01311680504973082,-0.45854999999999996,-0.40815,500
MMLU,google/gemma-2-2b-it,exp1,exp2,accuracy,condition2_minus_condition1,30,-0.005005477621910492,0.003633994943408729,-0.011122244488977966,0.0005499999999999976,499.53333333333336
MMLU,google/gemma-2-2b-it,exp1,exp2,beneficial_revision,condition2_minus_condition1,30,-0.007720509053052558,0.004064986956884997,-0.015096314907872697,-0.003325688073394502,203.8
MMLU,google/gemma-2-2b-it,exp1,exp2,change_rate,condition2_minus_condition1,30,0.009342818971275885,0.005645764485588377,-0.0002000000000000001,0.01858717434869739,499.53333333333336
MMLU,google/gemma-2-2b-it,exp1,exp2,conformity_rate,condition2_minus_condition1,30,0.015404319865419751,0.006463110754873942,0.004357747335436124,0.0274310645168143,439.5
MMLU,google/gemma-2-2b-it,exp1,exp2,harmful_conformity,condition2_minus_condition1,30,0.004995143321788977,0.0062079639809035254,-0.003424657534246575,0.017375886524822692,295.73333333333335
MMLU,google/gemma-2-2b-it,exp1,exp2,target_adoption,condition2_minus_condition1,30,0.013546826987307947,0.005680602978121581,0.003800000000000004,0.023665430861723437,499.53333333333336
MMLU,google/gemma-2-2b-it,exp2,exp3,accuracy,condition2_minus_condition1,30,-0.0551191716766867,0.007584154296951533,-0.06603637274549096,-0.04200000000000001,499.53333333333336
MMLU,google/gemma-2-2b-it,exp2,exp3,beneficial_revision,condition2_minus_condition1,30,0.008868068523355453,0.003994912674845947,0.0,0.015259459883812216,203.8
MMLU,google/gemma-2-2b-it,exp2,exp3,change_rate,condition2_minus_condition1,30,0.0908189712758851,0.00863984994368332,0.0741075150300601,0.10515951903807615,499.53333333333336
