model,benchmark,metric,n,source,model_label,delta_model_minus_source,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm_within_metric
Qwen2.5-3B,CSQA,Accuracy,500,0.052,0.652,0.6,0.556,0.644,3,303,7.326349496710822e-86,2.930539798684329e-85
Qwen2.5-3B,CSQA,Adopt,500,0.884,0.192,-0.692,-0.732,-0.65,346,0,1.3952482803738708e-104,5.5809931214954833e-104
Qwen2.5-3B,CSQA,CR,467,0.8779443254817987,0.13704496788008566,-0.7408993576017131,-0.7794432548179872,-0.7002141327623126,346,0,1.3952482803738708e-104,5.5809931214954833e-104
Qwen2.5-3B,CSQA,HCR,368,0.8913043478260869,0.11684782608695653,-0.7744565217391305,-0.8152173913043478,-0.7309782608695652,285,0,3.217223493417518e-86,1.2868893973670072e-85
Gemma2-2B,CSQA,Accuracy,500,0.22,0.62,0.4,0.356,0.444,1,201,6.316360507029059e-59,1.8949081521087176e-58
Gemma2-2B,CSQA,Adopt,500,0.724,0.168,-0.556,-0.6,-0.512,278,0,4.118046071574423e-84,1.235413821472327e-83
Gemma2-2B,CSQA,CR,468,0.7051282051282052,0.1111111111111111,-0.594017094017094,-0.6388888888888888,-0.5491452991452992,278,0,4.118046071574423e-84,1.235413821472327e-83
Gemma2-2B,CSQA,HCR,345,0.6695652173913044,0.09855072463768116,-0.5710144927536231,-0.6202898550724638,-0.518840579710145,197,0,9.956824444577827e-60,2.987047333373348e-59
Qwen2.5-3B,MMLU,Accuracy,500,0.1,0.428,0.328,0.284,0.372,8,172,3.1930545209179334e-41,6.386109041835867e-41
Qwen2.5-3B,MMLU,Adopt,500,0.778,0.428,-0.35,-0.394,-0.308,181,6,5.773354797374103e-46,1.1546709594748206e-45
Qwen2.5-3B,MMLU,CR,433,0.7482678983833718,0.3418013856812933,-0.4064665127020785,-0.45496535796766746,-0.3579676674364896,180,4,3.85449987780221e-48,7.70899975560442e-48
Qwen2.5-3B,MMLU,HCR,313,0.7284345047923323,0.31309904153354634,-0.41533546325878595,-0.4728434504792332,-0.35782747603833864,134,4,8.552879677427434e-35,1.7105759354854869e-34
Gemma2-2B,MMLU,Accuracy,499,0.312625250501002,0.5150300601202404,0.20240480961923848,0.16633266533066132,0.23847695390781562,1,102,2.0510383535746307e-29,2.0510383535746307e-29
Gemma2-2B,MMLU,Adopt,499,0.5050100200400801,0.20641282565130262,-0.2985971943887776,-0.33867735470941884,-0.2605210420841683,149,0,2.802596928649634e-45,2.802596928649634e-45
Gemma2-2B,MMLU,CR,425,0.4188235294117647,0.06823529411764706,-0.35058823529411764,-0.3952941176470588,-0.3058823529411765,149,0,2.802596928649634e-45,2.802596928649634e-45
Gemma2-2B,MMLU,HCR,277,0.4296028880866426,0.06859205776173286,-0.36101083032490977,-0.4187725631768953,-0.30324909747292417,100,0,1.5777218104420236e-30,1.5777218104420236e-30
