comparison,first,second,paired_n,cr_first,cr_second,delta,ci_low,ci_high,b,c,p_raw,p_holm,adjust
A,stepwise_no_history,sequential_final,468,0.04487179487179487,0.04487179487179487,0.0,0.0,0.0,0,0,1.0,,False
B,stepwise_answer_history,stepwise_no_history,468,0.02564102564102564,0.04487179487179487,-0.019230769230769232,-0.038461538461538464,-0.002136752136752137,5,14,0.063568115234375,0.2623939514160156,True
C,stepwise_answer_confidence_history,stepwise_answer_history,468,0.027777777777777776,0.02564102564102564,0.002136752136752137,0.0,0.00641025641025641,1,0,1.0,1.0,True
D,sequential_final_length_matched,sequential_final,468,0.057692307692307696,0.04487179487179487,0.01282051282051282,-0.002136752136752137,0.029914529914529916,11,5,0.210113525390625,0.630340576171875,True
E,stepwise_answer_confidence_history,sequential_final_length_matched,468,0.027777777777777776,0.057692307692307696,-0.029914529914529916,-0.049145299145299144,-0.010683760683760684,4,18,0.004343509674072266,0.034748077392578125,True
F,stepwise_answer_history,sequential_final_length_matched,468,0.02564102564102564,0.057692307692307696,-0.03205128205128205,-0.053418803418803416,-0.01282051282051282,4,19,0.002599477767944336,,False
G,sequential_final_neutral_v2,sequential_final,468,0.06623931623931624,0.04487179487179487,0.021367521367521368,0.002136752136752137,0.0405982905982906,16,6,0.052478790283203125,0.2623939514160156,True
H,sequential_final_short_ack,sequential_final,468,0.07478632478632478,0.04487179487179487,0.029914529914529916,0.010683760683760684,0.049145299145299144,18,4,0.004343509674072266,0.034748077392578125,True
I,sequential_final_neutral_v2,sequential_final_length_matched,468,0.06623931623931624,0.057692307692307696,0.008547008547008548,0.0,0.019230769230769232,5,1,0.21875,0.630340576171875,True
J,stepwise_answer_confidence_history,sequential_final_neutral_v2,468,0.027777777777777776,0.06623931623931624,-0.038461538461538464,-0.06196581196581197,-0.017094017094017096,5,23,0.0009122341871261597,0.008210107684135437,True
K,sequential_final_length_matched,sequential_final_short_ack,468,0.057692307692307696,0.07478632478632478,-0.017094017094017096,-0.029914529914529916,-0.004273504273504274,1,9,0.021484375,0.12890625,True
